"#","Reference","Qty","Value","Footprint","DNP"
"1","J0","1","Power","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"2","J1","1","Neopixel","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"3","J2","1","Temperature Sensor","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"4","J3","1","OLED","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"5","J4","1","Reset","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"6","J5","1","Reserve IO23 5VCC","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"7","J6","1","Reserve IO25 5VCC","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"8","J7","1","Reserve IO09 3V3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"9","J8","1","Reserve IO12 3V3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"10","J9","1","GND","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"11","J10","1","3V3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"12","J11","1","5VCC","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"13","R1, R2, R3","3","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"14","SW1","1","RotaryEncoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",""
"15","U1","1","esp32-wemos-d1-mini","ESP32Mini:esp32-wemos-d1-mini",""
"16","U2","1","~","Level Shifter:4xLEvel Shifter",""
